<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RI.RTSI,60,20160114,110000,690.2000000,694.9400000,684.8800000,694.1200000,2197889090
RI.RTSI,60,20160114,120000,694.5100000,694.5100000,686.1200000,689.9600000,63858916
RI.RTSI,60,20160114,130000,689.9800000,690.4400000,685.9800000,689.0000000,48266793
RI.RTSI,60,20160114,140000,688.9900000,689.0600000,687.2400000,688.6900000,25265492
RI.RTSI,60,20160114,150000,688.6900000,688.7200000,684.7400000,686.8700000,36616590
RI.RTSI,60,20160114,160000,686.8100000,692.1600000,686.6100000,690.3400000,39147021
RI.RTSI,60,20160114,170000,690.3500000,690.9900000,686.8300000,687.8800000,33845886
RI.RTSI,60,20160114,180000,687.8800000,690.8900000,682.6500000,682.8600000,43384846
RI.RTSI,60,20160114,190000,682.9100000,692.9900000,681.5700000,692.9900000,68727266
RI.RTSI,60,20160115,110000,693.8500000,693.8500000,686.5400000,692.7200000,2187024222
RI.RTSI,60,20160115,120000,692.7400000,694.7200000,678.4600000,679.2300000,80286622
RI.RTSI,60,20160115,130000,679.1600000,683.0100000,677.8800000,679.9900000,36187461
RI.RTSI,60,20160115,140000,679.9900000,679.9900000,662.2700000,663.5800000,116841363
RI.RTSI,60,20160115,150000,663.6000000,664.5000000,657.9300000,660.9400000,87981058
RI.RTSI,60,20160115,160000,660.9400000,661.3000000,651.6200000,656.4200000,83305698
RI.RTSI,60,20160115,170000,656.4600000,656.8200000,648.5300000,649.6600000,75577712
RI.RTSI,60,20160115,180000,649.8200000,657.4500000,647.8600000,653.9800000,74275517
RI.RTSI,60,20160115,190000,653.9800000,656.3500000,652.9800000,652.9800000,47809022
RI.RTSI,60,20160118,110000,649.1700000,649.1700000,632.1900000,640.7300000,2229129296
RI.RTSI,60,20160118,120000,640.7300000,651.2100000,640.7300000,648.2900000,86167984
RI.RTSI,60,20160118,130000,648.2600000,649.8600000,644.0000000,648.0300000,36412929
RI.RTSI,60,20160118,140000,648.0500000,650.0400000,642.8300000,650.0000000,31529479
RI.RTSI,60,20160118,150000,650.0100000,655.0600000,648.3900000,652.2800000,34711594
RI.RTSI,60,20160118,160000,652.2900000,652.8700000,643.4400000,644.0200000,38119570
RI.RTSI,60,20160118,170000,643.9900000,647.8700000,642.9300000,645.3100000,30518363
RI.RTSI,60,20160118,180000,645.2600000,646.6200000,641.3700000,644.8700000,32981713
RI.RTSI,60,20160118,190000,644.8800000,647.2200000,644.7900000,646.9000000,34899338
RI.RTSI,60,20160119,110000,651.0200000,668.1400000,651.0200000,667.8200000,2224556129
RI.RTSI,60,20160119,120000,667.8200000,668.9100000,663.7300000,666.0500000,58856831
RI.RTSI,60,20160119,130000,666.0100000,668.9700000,663.8100000,668.9100000,35810107
RI.RTSI,60,20160119,140000,668.5700000,673.9900000,667.4500000,671.4800000,57444774
RI.RTSI,60,20160119,150000,671.4800000,674.3800000,671.2100000,672.8500000,28243371
RI.RTSI,60,20160119,160000,672.7800000,672.9600000,666.1100000,666.1100000,35703192
RI.RTSI,60,20160119,170000,666.1500000,667.5100000,665.5500000,666.0500000,32937669
RI.RTSI,60,20160119,180000,665.9900000,666.0100000,652.8600000,655.6500000,87591348
RI.RTSI,60,20160119,190000,655.6500000,661.2400000,653.0000000,660.2900000,53257358
RI.RTSI,60,20160120,110000,653.7900000,653.7900000,636.8800000,637.8800000,2240677099
RI.RTSI,60,20160120,120000,637.9900000,639.8100000,631.8800000,634.3400000,99215991
RI.RTSI,60,20160120,130000,633.9400000,639.7000000,633.2700000,639.3900000,53753083
RI.RTSI,60,20160120,140000,639.3900000,641.8900000,638.3000000,638.6200000,40043455
RI.RTSI,60,20160120,150000,638.6400000,638.9800000,630.8700000,632.1300000,31497783
RI.RTSI,60,20160120,160000,632.1400000,635.8100000,628.6900000,635.2700000,44264774
RI.RTSI,60,20160120,170000,635.2800000,636.8700000,630.5700000,634.9200000,35298073
RI.RTSI,60,20160120,180000,634.9100000,636.6900000,628.7000000,629.1100000,42260329
RI.RTSI,60,20160120,190000,629.1300000,630.6400000,625.9900000,628.4100000,52152296
RI.RTSI,60,20160121,110000,632.0100000,632.4900000,611.8400000,615.6700000,2211674845
RI.RTSI,60,20160121,120000,615.6600000,623.1200000,613.4600000,613.5900000,81433443
RI.RTSI,60,20160121,130000,613.5500000,622.3500000,607.1400000,622.3500000,74467553
RI.RTSI,60,20160121,140000,622.3700000,625.4400000,620.4200000,620.6200000,48554624
RI.RTSI,60,20160121,150000,620.6100000,623.9600000,619.7100000,622.5900000,35803280
RI.RTSI,60,20160121,160000,622.5800000,626.0300000,620.3000000,623.8800000,30033506
RI.RTSI,60,20160121,170000,623.9200000,634.0700000,623.6400000,630.1900000,61626351
RI.RTSI,60,20160121,180000,630.2000000,632.7000000,626.8400000,627.8900000,55067242
RI.RTSI,60,20160121,190000,627.8900000,635.4300000,627.8500000,632.1200000,59829442
RI.RTSI,60,20160122,110000,647.5100000,669.5700000,647.5100000,657.6800000,2246868970
RI.RTSI,60,20160122,120000,657.6900000,663.3200000,654.8900000,663.2700000,84263466
RI.RTSI,60,20160122,130000,663.2700000,668.6800000,662.2300000,663.0100000,76959866
RI.RTSI,60,20160122,140000,663.0900000,666.8400000,662.1300000,666.0600000,37784064
RI.RTSI,60,20160122,150000,666.0500000,680.1200000,665.8600000,678.8600000,117760184
RI.RTSI,60,20160122,160000,678.8200000,683.5500000,673.5600000,680.6300000,85350269
RI.RTSI,60,20160122,170000,680.6700000,680.6700000,674.4900000,677.7000000,52575589
RI.RTSI,60,20160122,180000,677.7200000,692.7500000,677.7100000,692.7500000,104144218
RI.RTSI,60,20160122,190000,692.8000000,696.3000000,690.2700000,691.4000000,97768381
RI.RTSI,60,20160125,110000,696.1400000,704.2900000,688.6700000,689.4200000,2238905346
RI.RTSI,60,20160125,120000,689.3700000,689.3700000,677.6800000,682.4600000,64207420
RI.RTSI,60,20160125,130000,682.4800000,687.8600000,678.5200000,681.4300000,41174697
RI.RTSI,60,20160125,140000,681.4400000,684.1300000,679.7500000,681.1500000,40418616
RI.RTSI,60,20160125,150000,681.1600000,681.9600000,675.1300000,676.9600000,35685057
RI.RTSI,60,20160125,160000,676.9500000,684.2900000,676.2400000,682.2500000,30700310
RI.RTSI,60,20160125,170000,682.2200000,682.6200000,672.4900000,673.6900000,53955376
RI.RTSI,60,20160125,180000,673.6700000,681.5800000,673.2500000,681.5500000,45993255
RI.RTSI,60,20160125,190000,681.5300000,686.5300000,681.0600000,681.5700000,34517969
RI.RTSI,60,20160126,110000,667.7300000,667.7300000,655.8100000,658.3600000,2206730531
RI.RTSI,60,20160126,120000,658.3500000,660.1400000,655.5700000,658.8600000,57866560
RI.RTSI,60,20160126,130000,658.8500000,666.4200000,658.2200000,666.3700000,46815944
RI.RTSI,60,20160126,140000,666.3700000,677.8900000,664.8100000,675.9500000,48280015
RI.RTSI,60,20160126,150000,675.6400000,679.4600000,672.9500000,676.9500000,41084347
RI.RTSI,60,20160126,160000,676.8800000,680.9300000,675.7800000,676.7200000,35609899
RI.RTSI,60,20160126,170000,676.6100000,682.1600000,670.9500000,681.8800000,38122038
RI.RTSI,60,20160126,180000,681.7700000,684.8100000,676.1200000,677.6200000,49813737
RI.RTSI,60,20160126,190000,677.6500000,685.7200000,677.6500000,683.0500000,44256929
RI.RTSI,60,20160127,110000,686.9800000,688.7900000,679.5500000,684.4600000,2186670166
RI.RTSI,60,20160127,120000,684.4600000,691.6200000,680.5000000,688.6500000,67733364
RI.RTSI,60,20160127,130000,688.6400000,693.5500000,687.0100000,689.2100000,64468195
RI.RTSI,60,20160127,140000,689.2100000,692.3300000,685.7500000,692.1000000,29597656
RI.RTSI,60,20160127,150000,692.0800000,695.5300000,691.2500000,695.1400000,47674583
RI.RTSI,60,20160127,160000,695.1500000,703.0200000,695.1500000,702.6800000,68157482
RI.RTSI,60,20160127,170000,702.7600000,703.9000000,699.1200000,700.5600000,54951980
RI.RTSI,60,20160127,180000,700.6200000,703.7200000,697.6000000,701.8700000,52616821
RI.RTSI,60,20160127,190000,701.7700000,705.2900000,696.2400000,704.8700000,47121745
RI.RTSI,60,20160128,110000,707.1000000,721.5300000,704.7800000,720.2300000,2249114769
RI.RTSI,60,20160128,120000,720.2400000,720.6700000,715.4200000,720.4300000,56401964
RI.RTSI,60,20160128,130000,720.4200000,727.3300000,716.3100000,725.6700000,50765085
RI.RTSI,60,20160128,140000,725.6900000,726.7500000,721.0200000,724.0000000,55172770
RI.RTSI,60,20160128,150000,723.9800000,726.3500000,716.4300000,722.1000000,76934897
RI.RTSI,60,20160128,160000,722.1000000,725.4600000,719.0300000,724.0800000,69659635
RI.RTSI,60,20160128,170000,724.0700000,728.7900000,719.4500000,728.7100000,42928571
